mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.8208950360616049,0.045635481871262505,374.35529430707294,0.25078761669335026,minkowski,4,uniform,"{'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'uniform'}",0.44484760222381114,0.44612831964012456,0.4518191057498502,0.44759834253792863,0.003029982490977451,23
0.8182280858357748,0.07774282986119381,368.8766022523244,1.0039218946177255,minkowski,4,distance,"{'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'distance'}",0.4509335642970491,0.4529284108560758,0.45508945530138034,0.45298381015150174,0.0016970875682416559,19
0.810774564743042,0.021550471591021702,375.74834140141803,0.040538388903359535,minkowski,5,uniform,"{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}",0.44710359170970354,0.4513062452565538,0.45566615475754785,0.45135866390793505,0.0034958482302427135,21
0.8061974048614502,0.05068231698919946,369.9012722969055,0.6316272531101613,minkowski,5,distance,"{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}",0.4492255305009321,0.4545158427074104,0.4583705389669609,0.45403730405843445,0.003748737066431601,15
0.8622295061747233,0.05722105200193106,384.50708293914795,0.5900443878198063,minkowski,6,uniform,"{'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'uniform'}",0.45119179678088833,0.45321158815011575,0.4570432937254375,0.4538155595521472,0.0024267385814258262,17
0.8218323389689127,0.035904098127230596,377.9722276528676,1.3622007047963025,minkowski,6,distance,"{'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}",0.45325421828004775,0.45569515884892786,0.459810192185687,0.4562531897715542,0.0027053955158548135,9
0.8673503398895264,0.0473866181461145,386.35291449228924,2.369405518840637,minkowski,7,uniform,"{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'uniform'}",0.45238474380861005,0.4555643771974185,0.45963554969791964,0.4558615569013161,0.0029675785126842807,11
0.9128418763478597,0.01119927475636572,379.7188193003337,0.7952652806258493,minkowski,7,distance,"{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'}",0.4530837672760776,0.45621963826932116,0.45825075655217595,0.45585138736585823,0.002125425618671055,13
0.8713822364807129,0.06369327742261185,388.0737338066101,1.3527586608208366,euclidean,4,uniform,"{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}",0.44484760222381114,0.44612831964012456,0.4518191057498502,0.44759834253792863,0.003029982490977451,23
0.8939359188079834,0.016720074893961625,382.081786553065,0.7072521310653338,euclidean,4,distance,"{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}",0.4509335642970491,0.4529284108560758,0.45508945530138034,0.45298381015150174,0.0016970875682416559,19
0.8864999612172445,0.05750744196670971,388.28000171979266,1.1926726830408534,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.44710359170970354,0.4513062452565538,0.45566615475754785,0.45135866390793505,0.0034958482302427135,21
0.8510372638702393,0.014895135534768922,383.7798611323039,2.206597726728645,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.4492255305009321,0.4545158427074104,0.4583705389669609,0.45403730405843445,0.003748737066431601,15
0.8772308826446533,0.04501654454907883,390.67066796620685,0.5699528354252694,euclidean,6,uniform,"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.45119179678088833,0.45321158815011575,0.4570432937254375,0.4538155595521472,0.0024267385814258262,17
0.8887315591176351,0.04643922293429841,384.8216110865275,0.8725885209742577,euclidean,6,distance,"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",0.45325421828004775,0.45569515884892786,0.459810192185687,0.4562531897715542,0.0027053955158548135,9
0.9154489835103353,0.0719348134392752,391.9610850016276,1.6303836273785344,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.45238474380861005,0.4555643771974185,0.45963554969791964,0.4558615569013161,0.0029675785126842807,11
0.9055781364440918,0.04246274346781097,386.4815652370453,2.1575495438149206,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.4530837672760776,0.45621963826932116,0.45825075655217595,0.45585138736585823,0.002125425618671055,13
0.9647037188212076,0.12665436812703768,1737.1057713031769,17.955646157505974,manhattan,4,uniform,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}",0.4710490347563449,0.46542912453776075,0.4708011963704969,0.4690931185548675,0.002592809940896885,8
0.8419596354166666,0.03196657608227817,1721.7819489638011,20.940645378605524,manhattan,4,distance,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}",0.4710996978842273,0.4715269074232574,0.4749688679297342,0.4725318244124063,0.0017320532760420541,4
0.8489832083384196,0.04455039450225859,1711.8535198370616,4.087206929771608,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.46731575365194294,0.4664915514850607,0.4749248107345935,0.4695773719571991,0.0037961518595774364,7
0.8358287811279297,0.022374464648764192,1719.2078279654186,21.03775061979129,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.47657520391617625,0.4713244893310238,0.47498405418781475,0.4742945824783383,0.0021983371507133223,2
